Identifiant_de_l_etablissement;Nom_etablissement;Type_etablissement;Statut_public_prive;Adresse_1;Adresse_2;Adresse_3;Code_postal;Code_commune;Nom_commune;Code_departement;Code_academie;Code_region;Ecole_maternelle;Ecole_elementaire;Voie_generale;Voie_technologique;Voie_professionnelle;Telephone;Fax;Web;Mail;Restauration;Hebergement;ULIS;Apprentissage;Segpa;Section_arts;Section_cinema;Section_theatre;Section_sport;Section_internationale;Section_europeenne;Lycee_Agricole;Lycee_militaire;Lycee_des_metiers;Post_BAC;Appartenance_Education_Prioritaire;GRETA;SIREN_SIRET;Nombre_d_eleves;Fiche_onisep;position;Type_contrat_prive;Libelle_departement;Libelle_academie;Libelle_region;coordX_origine;coordY_origine;epsg_origine;nom_circonscription;latitude;longitude;precision_localisation;date_ouverture;date_maj_ligne;etat;ministere_tutelle;multi_uai;rpi_concentre;rpi_disperse;code_nature;libelle_nature;Code_type_contrat_prive;PIAL;etablissement_mere;type_rattachement_etablissement_mere;code_circonscription;code_zone_animation_pedagogique;libelle_zone_animation_pedagogique;code_bassin_formation;libelle_bassin_formation
0601193W;Collège Claude Debussy;Collège;Public;1059 rue de la République;;;60280;60382;Margny-les-Compiègne;060;20;32;;;0;0;0;03 44 36 39 99;;https://college-claude-debussy-margny-les-compiegne.60.ac-amiens.fr;Ce.0601193W@ac-amiens.fr;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;;1;19601193600016;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.10515;49.432194015439364, 2.8266097604485276;SANS OBJET;Oise;Amiens;Hauts-de-France;687418.3;6925875.0;EPSG:2154;Circonscription d'inspection du 1er degré de Margny Les Compiègne;49.432194015439364;2.8266097604485276;Numéro de rue;1969-03-20;2026-01-15;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;340;COLLEGE;99;0601193W;;;0600100H;;;20607;OISE ORIENTALE
0601445V;Collège Louise Michel;Collège;Public;Rue Madeleine Blin;BP 139;;60131;60581;Saint-Just-en-Chaussée;060;20;32;;;0;0;0;03 44 77 64 40;;https://college-louise-michel-saint-just-en-chaussee.60.ac-amiens.fr/;Ce.0601445V@ac-amiens.fr;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;;1;19601445000015;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.5477;49.50231993494022, 2.425189350024811;SANS OBJET;Oise;Amiens;Hauts-de-France;658347.2;6933815.2;EPSG:2154;Circonscription d'inspection du 1er degré de Saint-Just-en-Chaussée;49.50231993494022;2.425189350024811;Numéro de rue;1973-03-09;2026-01-15;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;340;COLLEGE;99;0601445V;;;0602096C;;;20606;OISE CENTRALE
0800039H;Collège Joliot-Curie;Collège;Public;Rue Charles de Gaulle;;;80350;80533;Mers-les-Bains;080;20;32;;;0;0;0;02 35 50 54 00;;https://college-joliot-curie-mers-les-bains.80.ac-amiens.fr/;Ce.0800039H@ac-amiens.fr;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;;1;19800039000015;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.5698;50.06890219661251, 1.3933297588633509;SANS OBJET;Somme;Amiens;Hauts-de-France;584865.1;6997897.8;EPSG:2154;Circonscription d'inspection du 1er degré de Vimeu;50.06890219661251;1.3933297588633509;Numéro de rue;1965-05-01;2026-01-15;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;340;COLLEGE;99;0800039H;;;0801202X;;;20806;PICARDIE MARITIME
0601367K;Collège La Fontaine des Prés;Collège;Public;Route d'Aumont;BP 6;;60301;60612;Senlis;060;20;32;;;0;0;0;03 44 60 93 43;;https://college-de-la-fontaine-des-pres-senlis.60.ac-amiens.fr;Ce.0601367K@ac-amiens.fr;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;;1;19601367600016;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.12491;49.21320483148206, 2.57639058616428;SANS OBJET;Oise;Amiens;Hauts-de-France;669131.1;6901582.4;EPSG:2154;Circonscription d'inspection du 1er degré de Senlis;49.21320483148206;2.57639058616428;Numéro de rue;1971-05-11;2026-01-15;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;340;COLLEGE;99;0601367K;;;0600102K;;;20606;OISE CENTRALE
0601606V;Collège des Bourgognes;Collège;Public;9 route des Bourgognes;;;60500;60141;Chantilly;060;20;32;;;0;0;0;03 44 57 20 04;;https://college-des-bourgognes-chantilly.60.ac-amiens.fr;Ce.0601606V@ac-amiens.fr;1;0;1;0;0;0;0;0;1;1;0;0;0;0;0;;1;19601606700015;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.7316;49.20271391969206, 2.4665593665316505;SANS OBJET;Oise;Amiens;Hauts-de-France;661119.8;6900464.0;EPSG:2154;Circonscription d'inspection du 1er degré de Senlis;49.20271391969206;2.4665593665316505;Numéro de rue;1977-02-24;2026-01-15;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;340;COLLEGE;99;0601606V;;;0600102K;;;20606;OISE CENTRALE
0601407D;Collège d'Aramont;Collège;Public;1 rue Edgard Floury;;;60410;60667;Verberie;060;20;32;;;0;0;0;03 44 38 70 80;;https://college-d-aramont-verberie.60.ac-amiens.fr;Ce.0601407D@ac-amiens.fr;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;;1;19601407000011;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.13234;49.30812445684649, 2.71851015582772;SANS OBJET;Oise;Amiens;Hauts-de-France;679525.1;6912094.8;EPSG:2154;Circonscription d'inspection du 1er degré de Pont Sainte Maxence;49.30812445684649;2.71851015582772;Numéro de rue;1972-01-20;2026-01-15;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;340;COLLEGE;99;0601407D;;;0600103L;;;20607;OISE ORIENTALE
0801369D;Collège Louis Pasteur;Collège;Public;15 boulevard Pasteur;;;80190;80585;Nesle;080;20;32;;;0;0;0;03 22 88 48 90;;https://college-louis-pasteur-nesle.80.ac-amiens.fr/;Ce.0801369D@ac-amiens.fr;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;;1;19801369000013;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.10018;49.76034711763425, 2.9140976802752117;SANS OBJET;Somme;Amiens;Hauts-de-France;693806.4;6962381.1;EPSG:2154;Circonscription d'inspection du 1er degré de Péronne;49.76034711763425;2.9140976802752117;Numéro de rue;1971-02-02;2026-01-15;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;340;COLLEGE;99;0801369D;;;0801203Y;;;20807;SANTERRE SOMME
0020034B;Lycée polyvalent Pierre Méchain;Lycée;Public;19 rue Léo Lagrange;;;02011;02408;Laon;002;20;32;;;1;1;1;03 23 26 25 00;;https://www.lycee-pierre-mechain.fr/;ce.0020034b@ac-amiens.fr;1;1;1;1;0;0;0;0;0;0;1;0;0;0;1;;1;19020034500014;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.15014;49.56085698931031, 3.634550107206578;SANS OBJET;Aisne;Amiens;Hauts-de-France;745929.3;6940361.6;EPSG:2154;;49.56085698931031;3.634550107206578;Numéro de rue;1965-05-01;2026-01-15;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;306;LYCEE POLYVALENT;99;0020090M;;;;;;20028;LAON HIRSON
0020014E;Lycée Gay-Lussac;Lycée;Public;23 boulevard Gambetta;;;02302;02173;Chauny;002;20;32;;;1;1;0;03 23 40 20 50;;https://les-lycees-publics-de-chauny.02.ac-amiens.fr/;Ce.0020014E@ac-amiens.fr;1;1;0;1;0;1;1;0;0;0;1;0;0;0;1;;1;19020014700014;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.7315;49.614417436034934, 3.2209993583191534;SANS OBJET;Aisne;Amiens;Hauts-de-France;715979.6;6946159.5;EPSG:2154;;49.614417436034934;3.2209993583191534;Numéro de rue;1965-05-01;2026-01-15;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;300;LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE;99;0020014E;;;;;;20027;SAINT QUENTIN - CHAUNY
0801882L;Lycée polyvalent La Hotoie;Lycée;Public;Rue du Bâtonnier Mahiu;;;80016;80021;Amiens;080;20;32;;;1;1;1;03 22 22 47 47;;https://lpo-la-hotoie-amiens.80.ac-amiens.fr/;Ce.0801882L@ac-amiens.fr;1;1;1;1;0;1;1;1;1;0;1;0;0;0;1;;1;19800049900014;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.4227;49.89593223330833, 2.2764153332106707;SANS OBJET;Somme;Amiens;Hauts-de-France;647968.2;6977708.0;EPSG:2154;;49.89593223330833;2.2764153332106707;Rue;1991-09-01;2026-01-15;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;306;LYCEE POLYVALENT;99;0801882L;;;;;;20805;AMIENS NORD
0801739F;Lycée professionnel du Marquenterre;Lycée;Public;2 rue du Marais;;;80120;80688;Rue;080;20;32;;;0;0;1;03 22 25 34 34;;https://lycee.citescolairedumarquenterre.fr/;ce.0801739f@ac-amiens.fr;1;1;0;1;0;0;0;0;0;0;1;0;0;1;0;;1;19801739400018;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.12672;50.26874644340526, 1.6746446524720404;SANS OBJET;Somme;Amiens;Hauts-de-France;605395.7;7019774.5;EPSG:2154;;50.26874644340526;1.6746446524720404;Numéro de rue;1980-09-01;2026-01-15;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;320;LYCEE PROFESSIONNEL;99;0801739F;;;;;;20806;PICARDIE MARITIME
0801628K;Lycée professionnel Romain Rolland;Lycée;Public;Rue Romain Rolland;;;80088;80021;Amiens;080;20;32;;;0;0;1;03 22 43 36 51;;https://lycee-des-metiers-romain-rolland-amiens.80.ac-amiens.fr/;Ce.0801628K@ac-amiens.fr;1;1;1;1;0;0;0;0;1;0;1;0;0;1;1;;1;19801628900011;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.2866;49.915490014695315, 2.2974834055698716;SANS OBJET;Somme;Amiens;Hauts-de-France;649502.5;6979871.4;EPSG:2154;;49.915490014695315;2.2974834055698716;Rue;1977-03-22;2026-01-15;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;320;LYCEE PROFESSIONNEL;99;0801700N;;;;;;20805;AMIENS NORD
0800007Y;Lycée polyvalent Lamarck;Lycée;Public;198 avenue Robert Solente;;;80300;80016;Albert;080;20;32;;;1;1;1;03 22 74 46 00;;https://lpo-lamarck-albert.80.ac-amiens.fr/;ce.0800007y@ac-amiens.fr;1;1;1;1;0;1;0;0;0;0;1;0;0;1;1;;1;19800007700018;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.12892;49.999405625889125, 2.6579350789851848;SANS OBJET;Somme;Amiens;Hauts-de-France;675452.3;6989042.0;EPSG:2154;;49.999405625889125;2.6579350789851848;Numéro de rue;1965-05-01;2026-01-15;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;306;LYCEE POLYVALENT;99;0801375K;;;;;;20807;SANTERRE SOMME
0801841S;Lycée Robert de Luzarches;Lycée;Public;4 rue Le Mongnier;;;80097;80021;Amiens;080;20;32;;;1;1;0;03 22 47 77 77;;https://robert-de-luzarches-amiens.fr/;Ce.0801841S@ac-amiens.fr;1;1;0;0;0;1;1;0;0;1;1;0;0;0;1;;1;19800044000018;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.13235;49.88550485369621, 2.320220701335441;SANS OBJET;Somme;Amiens;Hauts-de-France;651108.1;6976519.3;EPSG:2154;;49.88550485369621;2.320220701335441;Numéro de rue;1987-09-01;2026-01-15;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;300;LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE;99;0800038G;;;;;;20808;AMIENS SUD
0020049T;Lycée Pierre de la Ramée;Lycée;Public;1 rue Jules Siegfried;;;02100;02691;Saint-Quentin;002;20;32;;;1;1;0;03 23 62 83 00;;https://lgt-pierre-de-la-ramee-saint-quentin.02.ac-amiens.fr/;ce.0020049t@ac-amiens.fr;1;1;0;1;0;0;0;0;0;0;1;0;0;0;1;;1;19020049300012;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.5702;49.85225712442357, 3.30035939122238;SANS OBJET;Aisne;Amiens;Hauts-de-France;721617.1;6972649.0;EPSG:2154;;49.85225712442357;3.30035939122238;Numéro de rue;1965-05-01;2026-01-15;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;300;LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE;99;0020080B;;;;;;20027;SAINT QUENTIN - CHAUNY
0020022N;Lycée professionnel Jean Monnet;Lycée;Public;22 rue d'Aboville;;;02800;02304;La Fère;002;20;32;;;0;0;1;03 23 56 69 00;;https://lp-jean-monnet-la-fere.02.ac-amiens.fr;Ce.0020022N@ac-amiens.fr;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;;1;19020022000019;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.1544;49.659701444147345, 3.3665895284851057;SANS OBJET;Aisne;Amiens;Hauts-de-France;726483.2;6951238.0;EPSG:2154;;49.659701444147345;3.3665895284851057;Numéro de rue;1965-05-01;2026-01-15;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;320;LYCEE PROFESSIONNEL;99;0020022N;;;;;;20027;SAINT QUENTIN - CHAUNY
0021493M;Collège Victor Hugo;Collège;Public;5 rue André Ternynck;BP 16;;02301;02173;Chauny;002;20;32;;;0;0;0;03 23 39 11 50;;https://college-victor-hugo-chauny.02.ac-amiens.fr/;Ce.0021493M@ac-amiens.fr;1;0;1;0;1;0;0;0;1;0;0;0;0;0;0;;1;19021493200013;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.5858;49.62082861270309, 3.214260433490945;SANS OBJET;Aisne;Amiens;Hauts-de-France;715490.4;6946871.6;EPSG:2154;Circonscription d'inspection du 1er degré de Chauny;49.62082861270309;3.214260433490945;Numéro de rue;1969-03-20;2026-01-15;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;340;COLLEGE;99;0021493M;;;0020207P;;;20027;SAINT QUENTIN - CHAUNY
0600021X;Lycée Jules Uhry;Lycée;Public;10 rue Aristide Briand;;;60107;60175;Creil;060;20;32;;;1;1;0;03 44 64 75 44;;https://cite-jules-uhry-creil.60.ac-amiens.fr/;Ce.0600021X@ac-amiens.fr;1;1;0;1;0;1;1;1;0;0;1;0;0;0;1;;1;19600021000019;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.8604;49.258621263841796, 2.47333063537428;SANS OBJET;Oise;Amiens;Hauts-de-France;661654.8;6906679.4;EPSG:2154;;49.258621263841796;2.47333063537428;Numéro de rue;1965-05-01;2026-01-15;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;300;LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE;99;0600020W;;;;;;20606;OISE CENTRALE
0600048B;Lycée professionnel Robert et Nelly de Rothschild;Lycée;Public;1-3 rue du Hameau des haies;Château de Laversine;;60740;60589;Saint-Maximin;060;20;32;;;0;0;1;03 44 64 69 00;;https://lp-donation-de-rothschild-saint-maximin.60.ac-amiens.fr/;Ce.0600048B@ac-amiens.fr;1;1;1;0;0;0;0;0;0;0;1;0;0;0;1;;1;19600048300012;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.13759;49.23626670866281, 2.460930203561187;SANS OBJET;Oise;Amiens;Hauts-de-France;660735.0;6904198.9;EPSG:2154;;49.23626670866281;2.460930203561187;Numéro de rue;1965-05-01;2026-01-15;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;320;LYCEE PROFESSIONNEL;99;0600020W;;;;;;20606;OISE CENTRALE
0600049C;Lycée professionnel Amyot d'Inville;Lycée;Public;Avenue de Reims;;;60309;60612;Senlis;060;20;32;;;0;0;1;03 44 53 92 00;;https://lp-lyc-metier-amyot-inville-senlis.60.ac-amiens.fr/;Ce.0600049C@ac-amiens.fr;1;1;1;1;0;0;0;0;0;0;1;0;0;1;1;;1;19600049100015;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.3823;49.192550754701074, 2.5719203886254056;SANS OBJET;Oise;Amiens;Hauts-de-France;668792.9;6899286.8;EPSG:2154;;49.192550754701074;2.5719203886254056;Numéro de rue;1965-05-01;2026-01-15;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;320;LYCEE PROFESSIONNEL;99;0600049C;;;;;;20606;OISE CENTRALE
0800009A;Lycée Louis Thuillier;Lycée;Public;70 boulevard de Saint-Quentin;Cité scolaire;;80000;80021;Amiens;080;20;32;;;1;0;0;03 22 53 41 00;;https://lycee-thuillier.fr/;ce.0800009A@ac-amiens.fr;1;1;0;1;0;1;0;1;1;0;1;0;0;0;1;;1;19800009300015;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.5612;49.8791074014261, 2.2971710512012264;SANS OBJET;Somme;Amiens;Hauts-de-France;649444.0;6975821.7;EPSG:2154;;49.8791074014261;2.2971710512012264;Numéro de rue;1965-05-01;2026-01-15;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;302;LYCEE D ENSEIGNEMENT GENERAL;99;0800009A;;;;;;20808;AMIENS SUD
0600036N;Collège Édouard Herriot;Collège;Public;43-45 rue Édouard Herriot;;;60180;60463;Nogent-sur-Oise;060;20;32;;;0;0;0;03 44 71 32 26;;https://college-edouard-herriot-nogent-sur-oise.60.ac-amiens.fr/;Ce.0600036N@ac-amiens.fr;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;REP;1;19600036800015;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.12492;49.267760854693826, 2.451049890230202;SANS OBJET;Oise;Amiens;Hauts-de-France;660039.7;6907707.1;EPSG:2154;Circonscription d'inspection du 1er degré de Nogent sur Oise;49.267760854693826;2.451049890230202;Numéro de rue;1965-05-01;2026-01-15;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;340;COLLEGE;99;0600036N;;;0601720U;;;20606;OISE CENTRALE
0600014P;Lycée Pierre d'Ailly;Lycée;Public;136 boulevard des Etats-Unis;BP 90015;;60321;60159;Compiègne;060;20;32;;;1;1;0;03 44 92 13 13;;https://pierredailly.fr/;Ce.0600014P@ac-amiens.fr;1;1;0;0;0;1;0;0;0;0;1;0;0;0;1;;1;19600014500017;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.15500;49.40619412543183, 2.8338997882977464;SANS OBJET;Oise;Amiens;Hauts-de-France;687941.2;6922981.2;EPSG:2154;;49.40619412543183;2.8338997882977464;Numéro de rue;1965-05-01;2026-01-15;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;300;LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE;99;0600015R;;;;;;20607;OISE ORIENTALE
0800018K;Collège Édouard Lucas;Collège;Public;1 rue Édouard Lucas;;;80016;80021;Amiens;080;20;32;;;0;0;0;03 22 43 81 23;;;Ce.0800018K@ac-amiens.fr;1;0;1;0;1;0;0;0;1;0;0;0;0;0;0;REP;1;19800018400012;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.1962;49.89906876441213, 2.2683251519835483;SANS OBJET;Somme;Amiens;Hauts-de-France;647389.7;6978062.5;EPSG:2154;Circonscription d'inspection du 1er degré d'Amiens Ouest;49.89906876441213;2.2683251519835483;Numéro de rue;1965-05-01;2026-01-15;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;340;COLLEGE;99;0800018K;;;0801580H;;;20805;AMIENS NORD
0800063J;Lycée professionnel Boucher de Perthes;Lycée;Public;1 rue Paul Delique;;;80100;80001;Abbeville;080;20;32;;;0;0;1;03 22 25 41 00;;https://www.lyceeboucherdeperthes.fr/;Ce.0800063j@ac-amiens.fr;1;1;1;1;0;0;0;0;0;0;1;0;0;1;0;;1;19800063000014;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.14189;50.10264738349507, 1.8422749239992913;SANS OBJET;Somme;Amiens;Hauts-de-France;617089.1;7001091.6;EPSG:2154;;50.10264738349507;1.8422749239992913;Numéro de rue;1965-09-06;2026-01-15;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;320;LYCEE PROFESSIONNEL;99;0800063J;;;;;;20806;PICARDIE MARITIME
0601870G;Lycée professionnel André Malraux;Lycée;Public;1 place Nelson Mandela;;;60160;60414;Montataire;060;20;32;;;0;0;1;03 44 64 63 20;;https://lgt-andre-malraux-montataire.60.ac-amiens.fr/;Ce.0601864A@ac-amiens.fr;1;0;0;0;0;0;0;0;0;0;1;0;0;1;1;;1;19600079800013;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.2865;49.261275486931424, 2.4251702909683877;SANS OBJET;Oise;Amiens;Hauts-de-France;658150.6;6906999.1;EPSG:2154;;49.261275486931424;2.4251702909683877;Numéro de rue;1990-09-01;2026-01-15;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;320;LYCEE PROFESSIONNEL;99;0600020W;;;;;;20606;OISE CENTRALE
0021598B;Collège Jean Mermoz;Collège;Public;Rue du 2e régiment des Dragons;;;02011;02408;Laon;002;20;32;;;0;0;0;03 23 23 09 67;;https://college-jean-mermoz-laon.02.ac-amiens.fr;Ce.0021598B@ac-amiens.fr;1;0;1;0;1;0;0;0;1;0;0;0;0;0;0;;1;19021598800014;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.5046;49.567034056644964, 3.5971154246317734;SANS OBJET;Aisne;Amiens;Hauts-de-France;743214.6;6941027.8;EPSG:2154;Circonscription d'inspection du 1er degré de Laon;49.567034056644964;3.5971154246317734;Rue;1971-02-02;2026-01-15;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;340;COLLEGE;99;0020032Z;;;0022140R;;;20028;LAON HIRSON
0022044L;Lycée polyvalent Le Corbusier;Lycée;Public;Passage Le Corbusier;BP 548;;02331;02722;Soissons;002;20;32;;;0;1;1;03 23 73 06 06;;https://lpo-lyc-metier-le-corbusier-soissons.02.ac-amiens.fr/;Ce.0022044L@ac-amiens.fr;1;1;1;1;0;0;0;0;0;0;0;0;0;1;1;;1;19020010500012;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.2532;49.36435169381075, 3.3164604936239197;SANS OBJET;Aisne;Amiens;Hauts-de-France;722993.5;6918359.5;EPSG:2154;;49.36435169381075;3.3164604936239197;Numéro de rue;1996-09-01;2026-01-15;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;306;LYCEE POLYVALENT;99;0020059D;;;;;;20029;SUD-AISNE
0020048S;Lycée Henri Martin;Lycée;Public;1 rue Gabriel Girodon;;;02100;02691;Saint-Quentin;002;20;32;;;1;1;0;03 23 06 38 38;;https://www.lyceehenrimartin.fr/;Ce.0020048S@ac-amiens.fr;1;1;0;1;0;1;1;1;0;0;0;0;0;0;1;;1;19020048500018;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.3750;49.84970571758199, 3.283449405816513;SANS OBJET;Aisne;Amiens;Hauts-de-France;720401.1;6972360.5;EPSG:2154;;49.84970571758199;3.283449405816513;Numéro de rue;1965-05-01;2026-01-15;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;300;LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE;99;0021823W;;;;;;20027;SAINT QUENTIN - CHAUNY
0801514L;Lycée professionnel Pierre Mendès France;Lycée;Public;Route de Saint-Denis;;;80200;80620;Péronne;080;20;32;;;0;0;1;03 22 73 35 00;;https://www.pierre-mendes-france.fr/;mendesfrance.peronne@ac-amiens.fr;1;1;1;1;0;0;0;0;0;0;0;0;0;1;0;;1;19801514100015;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.14830;49.93541386504129, 2.94137255283811;SANS OBJET;Somme;Amiens;Hauts-de-France;695787.4;6981866.3;EPSG:2154;;49.93541386504129;2.94137255283811;Rue;1974-05-08;2026-01-15;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;320;LYCEE PROFESSIONNEL;99;0801537L;;;;;;20807;SANTERRE SOMME
0022008X;Lycée professionnel Jean Macé;Lycée;Public;7 rue André Ternynck;;;02300;02173;Chauny;002;20;32;;;0;0;1;03 23 39 12 11;;https://les-lycees-publics-de-chauny.02.ac-amiens.fr/;ce.0022008X@ac-amiens.fr;1;1;1;1;0;0;0;0;0;0;0;0;0;1;0;;1;19020077400031;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.780;49.614417436034934, 3.2209993583191534;SANS OBJET;Aisne;Amiens;Hauts-de-France;715979.6;6946159.5;EPSG:2154;;49.614417436034934;3.2209993583191534;Numéro de rue;1995-09-01;2026-01-15;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;320;LYCEE PROFESSIONNEL;99;0020014E;;;;;;20027;SAINT QUENTIN - CHAUNY
0021476U;Lycée polyvalent Léonard de Vinci;Lycée;Public;1 espace Jean Guerland;;;02331;02722;Soissons;002;20;32;;;1;1;1;03 23 75 35 50;;https://lpo-lyc-metier-leonard-de-vinci-soissons.02.ac-amiens.fr;ce.0021476u@ac-amiens.fr;1;1;1;1;0;0;0;0;0;0;0;0;0;1;1;;1;19021476700013;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.12148;49.371471610805735, 3.308140569020348;SANS OBJET;Aisne;Amiens;Hauts-de-France;722385.9;6919149.2;EPSG:2154;;49.371471610805735;3.308140569020348;Numéro de rue;1968-04-12;2026-01-15;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;306;LYCEE POLYVALENT;99;0021492L;;;;;;20029;SUD-AISNE
0800025T;Collège Jules Ferry;Collège;Public;Avenue Claude Jeunemaître;;;80160;80211;Conty;080;20;32;;;0;0;0;03 22 71 83 00;;;Ce.0800025T@ac-amiens.fr;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;;1;19800025900012;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.1195;49.73439899922479, 2.149702478299507;SANS OBJET;Somme;Amiens;Hauts-de-France;638663.2;6959820.0;EPSG:2154;Circonscription d'inspection du 1er degré d'Amiens sud ouest;49.73439899922479;2.149702478299507;Rue;1965-05-01;2026-01-15;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;340;COLLEGE;99;0800025T;;;0801197S;;;20808;AMIENS SUD
0020072T;Collège Simone Veil;Collège;Public;Place du Docteur Maréchal;;;02630;02830;Wassigny;002;20;32;;;0;0;0;03 23 60 62 63;;;Ce.0020072T@ac-amiens.fr;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;REP;1;19020072500017;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.11973;50.0142430908917, 3.5989303801184933;SANS OBJET;Aisne;Amiens;Hauts-de-France;742968.4;6990803.7;EPSG:2154;Circonscription d'inspection du 1er degré de Guise;50.0142430908917;3.5989303801184933;Rue;1965-05-01;2026-01-15;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;340;COLLEGE;99;0020072T;;;0020211U;;;20027;SAINT QUENTIN - CHAUNY
